episode: 349 , total_reward_episode: 1 , reward: -0.148571
episode: 350 , total_reward_episode: 1 , reward: -0.145299
episode: 351 , total_reward_episode: -1 , reward: -0.147727
episode: 352 , total_reward_episode: 1 , reward: -0.144476
episode: 353 , total_reward_episode: 1 , reward: -0.141243
episode: 354 , total_reward_episode: 1 , reward: -0.138028
episode: 355 , total_reward_episode: 1 , reward: -0.134831
episode: 356 , total_reward_episode: -1 , reward: -0.137255
episode: 357 , total_reward_episode: 1 , reward: -0.134078
episode: 358 , total_reward_episode: -1 , reward: -0.13649
episode: 359 , total_reward_episode: 1 , reward: -0.133333
episode: 360 , total_reward_episode: -1 , reward: -0.135734
episode: 361 , total_reward_episode: -1 , reward: -0.138122
episode: 362 , total_reward_episode: -1 , reward: -0.140496
episode: 363 , total_reward_episode: -1 , reward: -0.142857
episode: 364 , total_reward_episode: -1 , reward: -0.145205
episode: 365 , total_reward_episode: -1 , reward: -0.147541
episode: 366 , total_reward_episode: 1 , reward: -0.144414
episode: 367 , total_reward_episode: -1 , reward: -0.146739
episode: 368 , total_reward_episode: -1 , reward: -0.149051
episode: 369 , total_reward_episode: -1 , reward: -0.151351
episode: 370 , total_reward_episode: 1 , reward: -0.148248
episode: 371 , total_reward_episode: 1 , reward: -0.145161
episode: 372 , total_reward_episode: -1 , reward: -0.147453
episode: 373 , total_reward_episode: 1 , reward: -0.144385
episode: 374 , total_reward_episode: -1 , reward: -0.146667
episode: 375 , total_reward_episode: 1 , reward: -0.143617
episode: 376 , total_reward_episode: 1 , reward: -0.140584
episode: 377 , total_reward_episode: -1 , reward: -0.142857
episode: 378 , total_reward_episode: 1 , reward: -0.139842
episode: 379 , total_reward_episode: 1 , reward: -0.136842
episode: 380 , total_reward_episode: -1 , reward: -0.139108
episode: 381 , total_reward_episode: 1 , reward: -0.136126
episode: 382 , total_reward_episode: 1 , reward: -0.133159
episode: 383 , total_reward_episode: 1 , reward: -0.130208
episode: 384 , total_reward_episode: -1 , reward: -0.132468
episode: 385 , total_reward_episode: -1 , reward: -0.134715
episode: 386 , total_reward_episode: -1 , reward: -0.136951
episode: 387 , total_reward_episode: -1 , reward: -0.139175
episode: 388 , total_reward_episode: -1 , reward: -0.141388
episode: 389 , total_reward_episode: 1 , reward: -0.138462
episode: 390 , total_reward_episode: 1 , reward: -0.13555
episode: 391 , total_reward_episode: -1 , reward: -0.137755
episode: 392 , total_reward_episode: 1 , reward: -0.13486
episode: 393 , total_reward_episode: -1 , reward: -0.137056
episode: 394 , total_reward_episode: -1 , reward: -0.139241
episode: 395 , total_reward_episode: -1 , reward: -0.141414
episode: 396 , total_reward_episode: -1 , reward: -0.143577
episode: 397 , total_reward_episode: -1 , reward: -0.145729
episode: 398 , total_reward_episode: -1 , reward: -0.14787
episode: 399 , total_reward_episode: -1 , reward: -0.15
episode: 400 , total_reward_episode: -1 , reward: -0.15212
episode: 401 , total_reward_episode: -1 , reward: -0.154229
episode: 402 , total_reward_episode: 1 , reward: -0.151365
episode: 403 , total_reward_episode: -1 , reward: -0.153465
episode: 404 , total_reward_episode: 1 , reward: -0.150617
episode: 405 , total_reward_episode: -1 , reward: -0.152709
episode: 406 , total_reward_episode: 1 , reward: -0.149877
episode: 407 , total_reward_episode: -1 , reward: -0.151961
episode: 408 , total_reward_episode: 1 , reward: -0.149144
episode: 409 , total_reward_episode: 1 , reward: -0.146341
episode: 410 , total_reward_episode: -1 , reward: -0.148418
episode: 411 , total_reward_episode: -1 , reward: -0.150485
episode: 412 , total_reward_episode: 1 , reward: -0.1477
episode: 413 , total_reward_episode: -1 , reward: -0.149758
episode: 414 , total_reward_episode: -1 , reward: -0.151807
episode: 415 , total_reward_episode: -1 , reward: -0.153846
episode: 416 , total_reward_episode: -1 , reward: -0.155875
episode: 417 , total_reward_episode: -1 , reward: -0.157895
episode: 418 , total_reward_episode: -1 , reward: -0.159905
episode: 419 , total_reward_episode: -1 , reward: -0.161905
episode: 420 , total_reward_episode: 1 , reward: -0.159145
episode: 421 , total_reward_episode: -1 , reward: -0.161137
episode: 422 , total_reward_episode: -1 , reward: -0.163121
episode: 423 , total_reward_episode: 1 , reward: -0.160377
episode: 424 , total_reward_episode: 1 , reward: -0.157647
episode: 425 , total_reward_episode: -1 , reward: -0.159624
episode: 426 , total_reward_episode: -1 , reward: -0.161593
episode: 427 , total_reward_episode: -1 , reward: -0.163551
episode: 428 , total_reward_episode: -1 , reward: -0.165501
episode: 429 , total_reward_episode: -1 , reward: -0.167442
episode: 430 , total_reward_episode: 1 , reward: -0.164733
episode: 431 , total_reward_episode: 1 , reward: -0.162037
episode: 432 , total_reward_episode: -1 , reward: -0.163972
episode: 433 , total_reward_episode: -1 , reward: -0.165899
episode: 434 , total_reward_episode: 1 , reward: -0.163218
episode: 435 , total_reward_episode: 1 , reward: -0.16055
episode: 436 , total_reward_episode: 1 , reward: -0.157895
episode: 437 , total_reward_episode: -1 , reward: -0.159817
episode: 438 , total_reward_episode: 1 , reward: -0.157175
episode: 439 , total_reward_episode: -1 , reward: -0.159091
episode: 440 , total_reward_episode: -1 , reward: -0.160998
episode: 441 , total_reward_episode: 1 , reward: -0.158371
episode: 442 , total_reward_episode: 1 , reward: -0.155756
episode: 443 , total_reward_episode: 1 , reward: -0.153153
episode: 444 , total_reward_episode: -1 , reward: -0.155056
episode: 445 , total_reward_episode: -1 , reward: -0.156951
episode: 446 , total_reward_episode: -1 , reward: -0.158837
episode: 447 , total_reward_episode: -1 , reward: -0.160714
episode: 448 , total_reward_episode: 1 , reward: -0.158129
episode: 449 , total_reward_episode: -1 , reward: -0.16
episode: 450 , total_reward_episode: -1 , reward: -0.161863
episode: 451 , total_reward_episode: 1 , reward: -0.159292
episode: 452 , total_reward_episode: -1 , reward: -0.161148
episode: 453 , total_reward_episode: -1 , reward: -0.162996
episode: 454 , total_reward_episode: -1 , reward: -0.164835
episode: 455 , total_reward_episode: 1 , reward: -0.162281
episode: 456 , total_reward_episode: -1 , reward: -0.164114
episode: 457 , total_reward_episode: -1 , reward: -0.165939
episode: 458 , total_reward_episode: -1 , reward: -0.167756
episode: 459 , total_reward_episode: 1 , reward: -0.165217
episode: 460 , total_reward_episode: 1 , reward: -0.16269
episode: 461 , total_reward_episode: -1 , reward: -0.164502
episode: 462 , total_reward_episode: 1 , reward: -0.161987
episode: 463 , total_reward_episode: -1 , reward: -0.163793
episode: 464 , total_reward_episode: -1 , reward: -0.165591
episode: 465 , total_reward_episode: -1 , reward: -0.167382
episode: 466 , total_reward_episode: -1 , reward: -0.169165
episode: 467 , total_reward_episode: -1 , reward: -0.17094
episode: 468 , total_reward_episode: -1 , reward: -0.172708
episode: 469 , total_reward_episode: -1 , reward: -0.174468
